iter	Passed	Remaining
743	6872	2364
744	6882	2355
745	6896	2348
746	6901	2337
747	6907	2327
748	6920	2319
749	6933	2311
750	6939	2300
751	6952	2292
752	6964	2284
753	6976	2276
754	6987	2267
755	6999	2259
756	7007	2249
757	7017	2240
758	7027	2231
759	7035	2221
760	7042	2211
761	7051	2202
762	7059	2192
763	7068	2183
764	7078	2174
765	7087	2164
766	7092	2154
767	7097	2144
768	7102	2133
769	7107	2122
770	7111	2112
771	7116	2101
772	7120	2091
773	7125	2080
774	7130	2070
775	7141	2061
776	7148	2051
777	7155	2041
778	7167	2033
779	7176	2024
780	7183	2014
781	7193	2005
782	7198	1995
783	7207	1985
784	7218	1977
785	7227	1967
786	7233	1957
787	7239	1947
788	7245	1937
789	7253	1928
790	7261	1918
791	7276	1911
792	7293	1903
793	7302	1894
794	7319	1887
795	7325	1877
796	7332	1867
797	7339	1857
798	7351	1849
799	7366	1841
800	7375	1832
801	7388	1824
802	7401	1815
803	7408	1806
804	7414	1796
805	7422	1786
806	7434	1778
807	7440	1767
808	7445	1757
809	7449	1747
810	7455	1737
811	7461	1727
812	7466	1717
813	7471	1707
814	7476	1697
815	7482	1687
816	7487	1677
817	7492	1667
818	7498	1657
819	7503	1647
820	7508	1637
821	7514	1627
822	7519	1617
823	7524	1607
824	7529	1597
825	7535	1587
826	7541	1577
827	7546	1567
828	7551	1557
829	7556	1547
830	7560	1537
831	7564	1527
832	7577	1519
833	7586	1509
834	7592	1500
835	7597	1490
836	7603	1480
837	7609	1470
838	7619	1462
839	7625	1452
840	7632	1443
841	7638	1433
842	7647	1424
843	7653	1414
844	7666	1406
845	7672	1396
846	7677	1386
847	7683	1377
848	7691	1367
849	7697	1358
850	7703	1348
851	7707	1338
852	7711	1328
853	7715	1318
854	7719	1309
855	7723	1299
856	7727	1289
857	7731	1279
858	7734	1269
859	7738	1259
860	7742	1249
861	7746	1240
862	7750	1230
863	7754	1220
864	7758	1210
865	7762	1201
866	7766	1191
867	7769	1181
868	7773	1171
869	7776	1162
870	7779	1152
871	7783	1142
872	7786	1132
873	7789	1122
874	7792	1113
875	7796	1103
876	7799	1093
877	7802	1084
878	7805	1074
879	7808	1064
880	7811	1055
881	7815	1045
882	7818	1035
883	7821	1026
884	7824	1016
885	7828	1007
886	7831	997
887	7834	988
888	7838	978
889	7841	969
890	7844	959
891	7848	950
892	7851	940
893	7854	931
894	7858	921
895	7861	912
896	7864	903
897	7868	893
898	7871	884
899	7875	875
900	7878	865
901	7882	856
902	7885	847
903	7888	837
904	7892	828
905	7896	819
906	7899	810
907	7902	800
908	7906	791
909	7909	782
910	7912	773
911	7916	763
912	7919	754
913	7922	745
914	7926	736
915	7929	727
916	7932	718
917	7936	708
918	7939	699
919	7942	690
920	7945	681
921	7949	672
922	7952	663
923	7955	654
924	7959	645
925	7962	636
926	7965	627
927	7968	618
928	7971	609
929	7974	600
930	7978	591
931	7981	582
932	7985	573
933	7988	564
934	7991	555
935	7994	546
936	7997	537
937	8001	528
938	8004	519
939	8008	511
940	8011	502
941	8015	493
942	8018	484
943	8022	475
944	8025	467
945	8028	458
946	8031	449
947	8034	440
948	8037	431
949	8040	423
950	8043	414
951	8047	405
952	8050	397
953	8053	388
954	8056	379
955	8059	370
956	8063	362
957	8066	353
958	8069	345
959	8073	336
960	8076	327
961	8079	319
962	8083	310
963	8087	302
964	8091	293
965	8094	284
966	8098	276
967	8103	267
968	8106	259
969	8110	250
970	8113	242
971	8117	233
972	8121	225
973	8124	216
974	8128	208
975	8132	199
976	8135	191
977	8139	183
978	8142	174
979	8146	166
980	8150	157
981	8153	149
982	8157	141
983	8160	132
984	8164	124
985	816985	81986	817986	81987	817987	8988	817988	8989	818989	8990	818990	8991	818991	8992	819992	8993	819993	8994	820994	8995	820995	8996	820996	8997	821997	8998	821998	999	822999	8184	0
